name,ein,state,year,revenue,expenses,assetsEnd,liabilitiesEnd
University Christian Ministries Inc,510192618,VA,2020,2016822,1117459,4714146,152135
University Christian Ministries Inc,510192618,VA,2019,2599412,1181362,3658262,57544
University Christian Ministries Inc,510192618,VA,2018,869145,1135604,2206268,73387
University Christian Ministries Inc,510192618,VA,2017,1023463,1203791,2464560,177300
University Christian Ministries Inc,510192618,VA,2016,1487121,1057952,2487099,124599
University Christian Ministries Inc,510192618,VA,2015,987887,1082023,2101025,145251
University Christian Ministries Inc,510192618,VA,2014,1110704,1047063,2211353,173958
University Christian Ministries Inc,510192618,VA,2013,1092442,1041618,1977525,152526
University Christian Ministries Inc,510192618,VA,2012,1103601,918789,1765541,66372
Center For Israel Education Inc,260220636,GA,2021,1171876,768217,1142325,0
Center For Israel Education Inc,260220636,GA,2020,665402,789816,810392,71726
Center For Israel Education Inc,260220636,GA,2019,641712,1115017,863080,0
Center For Israel Education Inc,260220636,GA,2018,1376474,999898,1336385,0
Center For Israel Education Inc,260220636,GA,2017,699466,1048881,959809,0
Center For Israel Education Inc,260220636,GA,2016,1490685,1071193,1309224,0
Center For Israel Education Inc,260220636,GA,2015,941542,842913,816326,0
Center For Israel Education Inc,260220636,GA,2014,935426,632112,1346328,0
Center For Israel Education Inc,260220636,GA,2013,993563,459001,1042929,0
Center For Israel Education Inc,260220636,GA,2012,631183,302104,508367,0
Watch Therefore Ministries Inc,760669030,TX,2021,1151988,1154540,254389,557
Watch Therefore Ministries Inc,760669030,TX,2020,1076827,1040129,257389,1005
Watch Therefore Ministries Inc,760669030,TX,2019,791955,838138,220431,745
Watch Therefore Ministries Inc,760669030,TX,2018,836018,755783,266044,252
Watch Therefore Ministries Inc,760669030,TX,2017,735087,618059,192836,2239
Watch Therefore Ministries Inc,760669030,TX,2016,475428,504314,76137,2568
Watch Therefore Ministries Inc,760669030,TX,2015,514754,484609,104485,1852
Watch Therefore Ministries Inc,760669030,TX,2014,274061,278912,74109,1621
Watch Therefore Ministries Inc,760669030,TX,2013,356644,373849,78455,3478
Watch Therefore Ministries Inc,760669030,TX,2012,299204,320183,95176,2758
Institute For The Study Of Global Anti Semitism And Policy Inc,201381912,NY,2021,811588,827714,35209,94077
Institute For The Study Of Global Anti Semitism And Policy Inc,201381912,NY,2020,774316,668139,26724,69466
Institute For The Study Of Global Anti Semitism And Policy Inc,201381912,NY,2019,581721,666639,34652,183571
Institute For The Study Of Global Anti Semitism And Policy Inc,201381912,NY,2018,556733,610523,41652,105653
Institute For The Study Of Global Anti Semitism And Policy Inc,201381912,NY,2017,768860,856521,75147,385858
Institute For The Study Of Global Anti Semitism And Policy Inc,201381912,NY,2016,667257,881551,42681,265732
Institute For The Study Of Global Anti Semitism And Policy Inc,201381912,NY,2015,1019121,1182245,33206,41963
Institute For The Study Of Global Anti Semitism And Policy Inc,201381912,NY,2014,1052583,883318,177266,22899
Institute For The Study Of Global Anti Semitism And Policy Inc,201381912,NY,2013,425935,597153,36916,51814
Institute For The Study Of Global Anti Semitism And Policy Inc,201381912,NY,2012,490881,397793,159392,4999
Proclaiming Justice To The Nations Inc,203144206,TN,2020,1360051,1282962,65014,151278
Proclaiming Justice To The Nations Inc,203144206,TN,2019,1313758,1475320,21660,185013
Proclaiming Justice To The Nations Inc,203144206,TN,2018,1011658,1159974,47105,48896
Proclaiming Justice To The Nations Inc,203144206,TN,2017,1002610,824487,192653,46128
Proclaiming Justice To The Nations Inc,203144206,TN,2016,855141,850244,26232,57830
Proclaiming Justice To The Nations Inc,203144206,TN,2015,748906,789922,19829,56324
Proclaiming Justice To The Nations Inc,203144206,TN,2014,670531,665309,36117,31596
Proclaiming Justice To The Nations Inc,203144206,TN,2013,566251,560596,25512,26213
Proclaiming Justice To The Nations Inc,203144206,TN,2012,548465,553137,19348,25704
Proclaiming Justice To The Nations Inc,203144206,TN,2011,465795,465187,11651,13335
Middle East Peace Dialogue Network Inc,223684183,DE,2021,1639700,1601036,105470,0
Middle East Peace Dialogue Network Inc,223684183,DE,2020,3091250,3100115,53072,0
Middle East Peace Dialogue Network Inc,223684183,DE,2019,1644180,1654223,64110,0
Middle East Peace Dialogue Network Inc,223684183,DE,2018,577260,577147,71408,0
Middle East Peace Dialogue Network Inc,223684183,DE,2017,299358,310347,62652,0
Middle East Peace Dialogue Network Inc,223684183,DE,2016,111690,100807,69456,0
Middle East Peace Dialogue Network Inc,223684183,DE,2015,2079600,2080928,60723,0
Middle East Peace Dialogue Network Inc,223684183,DE,2014,524585,576097,64064,0
Middle East Peace Dialogue Network Inc,223684183,DE,2013,403928,877641,109922,0
Middle East Peace Dialogue Network Inc,223684183,DE,2012,197949,522610,593981,0
Hands Of Peace,593806403,IL,2021,790388,650665,500722,119667
Hands Of Peace,593806403,IL,2020,842770,704776,393970,156649
Hands Of Peace,593806403,IL,2019,999710,1016714,175684,28452
Hands Of Peace,593806403,IL,2018,969923,977138,194268,30032
Hands Of Peace,593806403,IL,2017,873625,853235,215498,44047
Hands Of Peace,593806403,IL,2016,659808,770974,172858,21797
Hands Of Peace,593806403,IL,2015,492403,460224,265610,3383
Hands Of Peace,593806403,IL,2014,461988,430839,231943,1895
Hands Of Peace,593806403,IL,2013,355389,288381,203914,5015
Hands Of Peace,593806403,IL,2012,297558,243348,135906,4015
Aliyah Foundation Inc,830581033,VA,2021,0,0,55500,0
Messianic Jewish Family Bible Society Inc,262353859,GA,2021,774665,918747,1874018,311537
Messianic Jewish Family Bible Society Inc,262353859,GA,2020,628120,632361,1954969,375151
Messianic Jewish Family Bible Society Inc,262353859,GA,2019,689916,668153,1855042,267322
Messianic Jewish Family Bible Society Inc,262353859,GA,2018,477158,581302,1713028,128756
Messianic Jewish Family Bible Society Inc,262353859,GA,2017,347891,332644,1839662,159256
Messianic Jewish Family Bible Society Inc,262353859,GA,2016,500197,633082,1593069,121105
Messianic Jewish Family Bible Society Inc,262353859,GA,2015,690859,663825,1651148,46262
Messianic Jewish Family Bible Society Inc,262353859,GA,2014,401403,553198,123558,26000
Messianic Jewish Family Bible Society Inc,262353859,GA,2013,611877,376906,249360,0
Messianic Jewish Family Bible Society Inc,262353859,GA,2012,47062,39421,6559,0
Us Israel Education Association Inc,454713417,AL,2021,1544815,801009,2017128,43458
Us Israel Education Association Inc,454713417,AL,2020,1814140,668447,1233775,3911
Us Israel Education Association Inc,454713417,AL,2019,829444,1080582,86183,2012
Us Israel Education Association Inc,454713417,AL,2018,875348,599794,342885,7576
Us Israel Education Association Inc,454713417,AL,2017,461257,529890,101314,41559
Us Israel Education Association Inc,454713417,AL,2016,247014,301446,138388,10000
Us Israel Education Association Inc,454713417,AL,2015,182400,73629,184686,1866
Friends Of Yashar Lachayal Inc,208021512,NJ,2021,937616,1059527,1831586,0
Friends Of Yashar Lachayal Inc,208021512,NJ,2020,804852,731161,1953497,0
Friends Of Yashar Lachayal Inc,208021512,NJ,2019,966944,459929,1879806,0
Friends Of Yashar Lachayal Inc,208021512,NJ,2018,757963,498069,1372791,0
Friends Of Yashar Lachayal Inc,208021512,NJ,2017,710313,623207,1112897,0
Friends Of Yashar Lachayal Inc,208021512,NJ,2016,696776,496770,1025791,0
Friends Of Yashar Lachayal Inc,208021512,NJ,2015,693545,733183,825785,0
Friends Of Yashar Lachayal Inc,208021512,NJ,2014,1289608,900813,865423,0
Friends Of Yashar Lachayal Inc,208021512,NJ,2013,546983,400068,477639,1011
Friends Of Yashar Lachayal Inc,208021512,NJ,2012,558172,391289,330724,1011
Better Future For Israel,463732857,NJ,2021,522304,313266,222512,0
Better Future For Israel,463732857,NJ,2017,0,0,7678,0
Better Future For Israel,463732857,NJ,2016,0,0,4993,0
Better Future For Israel,463732857,NJ,2015,68860,62018,11976,0
Better Future For Israel,463732857,NJ,2014,92898,102697,5134,0
National Jewish Policy Center,521433850,DC,2021,827775,724381,265118,634658
National Jewish Policy Center,521433850,DC,2020,766171,713922,233090,706024
National Jewish Policy Center,521433850,DC,2019,903881,686256,364482,889665
National Jewish Policy Center,521433850,DC,2018,898400,649782,294212,1037020
National Jewish Policy Center,521433850,DC,2017,640634,627208,104167,1095593
National Jewish Policy Center,521433850,DC,2016,572230,622431,149413,1154265
National Jewish Policy Center,521433850,DC,2015,494597,702513,170597,1125248
National Jewish Policy Center,521433850,DC,2014,453586,619700,80755,827490
National Jewish Policy Center,521433850,DC,2013,403903,601011,77932,658553
National Jewish Policy Center,521433850,DC,2012,603781,609643,82426,465939
American Friends Of Combatants For Peace Inc,364778519,NY,2021,703178,614252,190713,17367
American Friends Of Combatants For Peace Inc,364778519,NY,2020,337037,316899,104820,20400
American Friends Of Combatants For Peace Inc,364778519,NY,2019,253853,251315,64282,0
American Friends Of Combatants For Peace Inc,364778519,NY,2018,275304,248174,61744,0
American Friends Of Combatants For Peace Inc,364778519,NY,2016,0,0,2060,0
American Friends Of Combatants For Peace Inc,364778519,NY,2015,1,71329,30167,139
American Friends Of Combatants For Peace Inc,364778519,NY,2014,25000,236747,102137,96730
American Friends Of Combatants For Peace Inc,364778519,NY,2013,435000,217847,314326,97172
Israelnow Education Foundation,843917846,IL,2021,499000,365399,141206,7605
Israelnow Education Foundation,843917846,IL,2020,408263,408263,0,0
Israel Venture Network,141891915,CA,2021,105018,115607,75039,38799
Israel Venture Network,141891915,CA,2020,299712,311531,79728,32899
Israel Venture Network,141891915,CA,2019,341336,352468,156369,97721
Israel Venture Network,141891915,CA,2018,278697,292345,130929,61149
Israel Venture Network,141891915,CA,2017,409358,394711,169277,85849
Israel Venture Network,141891915,CA,2016,605337,621593,199082,85300
Israel Venture Network,141891915,CA,2015,663984,632892,231879,96841
Israel Venture Network,141891915,CA,2014,923387,900045,183209,94263
Israel Venture Network,141891915,CA,2013,932086,842724,95738,40134
Israel Venture Network,141891915,CA,2012,775242,825887,147979,138737
Friedman Center For Peace Through Strength Inc,861605645,FL,2021,1739653,1340187,399466,0
International Israel Allies Caucus Foundation Inc,260501656,DC,2021,1084273,675690,464733,17746
International Israel Allies Caucus Foundation Inc,260501656,DC,2020,560201,550858,73062,34658
International Israel Allies Caucus Foundation Inc,260501656,DC,2019,815737,679300,87570,58509
International Israel Allies Caucus Foundation Inc,260501656,DC,2018,1441818,709921,25991,133367
International Israel Allies Caucus Foundation Inc,260501656,DC,2017,1024462,919954,80900,920173
International Israel Allies Caucus Foundation Inc,260501656,DC,2016,1422856,1774846,60538,1004319
International Israel Allies Caucus Foundation Inc,260501656,DC,2015,2409977,2480226,211002,822242
International Israel Allies Caucus Foundation Inc,260501656,DC,2014,1835772,2130375,67995,291964
International Israel Allies Caucus Foundation Inc,260501656,DC,2013,1232483,1314225,97850,27216
International Israel Allies Caucus Foundation Inc,260501656,DC,2012,1066890,959931,144470,4145
Together For Israel Inc,203661322,NC,2021,1157235,948891,398023,14619
Together For Israel Inc,203661322,NC,2020,745099,636513,183043,7983
Together For Israel Inc,203661322,NC,2019,568372,745634,74109,7635
Together For Israel Inc,203661322,NC,2018,551159,934526,245545,1809
Together For Israel Inc,203661322,NC,2017,1055326,608141,631996,4893
Together For Israel Inc,203661322,NC,2016,575422,550726,180005,87
Together For Israel Inc,203661322,NC,2015,491042,511061,159769,9184
Together For Israel Inc,203661322,NC,2014,511597,409589,172600,1999
Together For Israel Inc,203661322,NC,2013,223292,224052,68805,210
Together For Israel Inc,203661322,NC,2012,196747,125165,72401,3046
The Telos Group Inc,264269918,VA,2021,1309611,969574,610701,24388
The Telos Group Inc,264269918,VA,2020,994392,964737,273670,27394
The Telos Group Inc,264269918,VA,2019,1752522,1663912,503274,258889
The Telos Group Inc,264269918,VA,2018,1555683,1494063,325468,169693
The Telos Group Inc,264269918,VA,2017,1058010,1212368,196448,102293
The Telos Group Inc,264269918,VA,2016,1411072,1181033,303489,54976
The Telos Group Inc,264269918,VA,2015,1087544,1312413,142921,124447
The Telos Group Inc,264269918,VA,2014,780383,702253,268346,25003
The Telos Group Inc,264269918,VA,2013,929527,1165969,253054,87841
The Telos Group Inc,264269918,VA,2012,1419546,1172262,456240,54585
Students Supporting Israel,465347153,MN,2021,569970,446106,1211950,0
Students Supporting Israel,465347153,MN,2020,691920,280384,1088086,0
Students Supporting Israel,465347153,MN,2019,753702,542858,683287,6737
Students Supporting Israel,465347153,MN,2018,519257,412022,465706,0
Students Supporting Israel,465347153,MN,2017,450705,323624,358471,0
Students Supporting Israel,465347153,MN,2016,338268,290860,231390,0
Students Supporting Israel,465347153,MN,2015,319598,158629,183982,0
Students Supporting Israel,465347153,MN,2014,30135,7122,23013,0
Togetherwithisrael,812650878,IL,2021,1331801,1829048,5211273,39681
Togetherwithisrael,812650878,IL,2020,1263315,1458490,5752834,83995
Togetherwithisrael,812650878,IL,2019,3590102,1689002,5868974,4960
Togetherwithisrael,812650878,IL,2018,3729777,767875,3962914,0
Togetherwithisrael,812650878,IL,2017,1010400,9546,1003412,2400
Friends Of Itamar Incorporated,208494134,NY,2021,548413,399099,1300256,18178
Friends Of Itamar Incorporated,208494134,NY,2020,677405,443167,1146074,13310
Friends Of Itamar Incorporated,208494134,NY,2019,459020,453061,913814,15288
Friends Of Itamar Incorporated,208494134,NY,2018,717196,408335,908689,16122
Friends Of Itamar Incorporated,208494134,NY,2017,535780,408729,599245,15539
Friends Of Itamar Incorporated,208494134,NY,2016,676800,653063,472296,15641
Friends Of Itamar Incorporated,208494134,NY,2015,399718,323048,442201,9283
Friends Of Itamar Incorporated,208494134,NY,2014,325802,320520,367762,10630
Friends Of Itamar Incorporated,208494134,NY,2013,391411,323703,361403,9553
Friends Of Itamar Incorporated,208494134,NY,2012,248055,222076,293442,9300
Jewish Community Relations Bureau Inc,834088310,KS,2021,479116,400540,2844268,0
Jewish Community Relations Bureau Inc,834088310,KS,2020,348102,359827,2549932,39302
Jewish Community Relations Bureau Inc,834088310,KS,2019,2290687,287214,2139936,0
American Friends Of Elon Moreh,412109553,NJ,2021,234505,219269,156374,2493
American Friends Of Elon Moreh,412109553,NJ,2020,0,0,141314,2669
American Friends Of Elon Moreh,412109553,NJ,2019,204524,186922,130242,3136
American Friends Of Elon Moreh,412109553,NJ,2018,213767,233183,110500,996
American Friends Of Elon Moreh,412109553,NJ,2017,0,0,129628,708
American Friends Of Elon Moreh,412109553,NJ,2016,0,0,113397,695
American Friends Of Elon Moreh,412109553,NJ,2015,199934,186374,144156,631
American Friends Of Elon Moreh,412109553,NJ,2014,178346,180276,130351,386
American Friends Of Elon Moreh,412109553,NJ,2013,168035,104817,132394,499
American Friends Of Elon Moreh,412109553,NJ,2012,169249,164781,69547,870
Israel Firstfruits Inc,463288101,TX,2021,592685,465753,351001,0
Israel Firstfruits Inc,463288101,TX,2020,594766,453396,262894,38825
Israel Firstfruits Inc,463288101,TX,2019,661904,691072,82699,0
Israel Firstfruits Inc,463288101,TX,2018,524993,487986,114117,2250
Israel Firstfruits Inc,463288101,TX,2017,605729,634652,114860,40000
Israel Firstfruits Inc,463288101,TX,2016,645915,600601,102911,0
Israel Firstfruits Inc,463288101,TX,2015,258452,222706,57597,0
Israel Firstfruits Inc,463288101,TX,2014,111792,90687,21851,0
Ilead Experience Inc,824338417,NY,2021,329135,504103,110034,519900
Ilead Experience Inc,824338417,NY,2020,72439,119839,44612,279510
Ilead Experience Inc,824338417,NY,2019,428082,536585,34763,222261
Ilead Experience Inc,824338417,NY,2018,485691,564686,65466,144461
Endowment For Middle East Truth,204329740,MD,2021,734586,506585,797839,18586
Endowment For Middle East Truth,204329740,MD,2020,460340,433177,642720,101138
Endowment For Middle East Truth,204329740,MD,2019,561978,573369,543822,29074
Endowment For Middle East Truth,204329740,MD,2018,751962,603025,553153,27014
Endowment For Middle East Truth,204329740,MD,2017,583490,532122,395760,21060
Endowment For Middle East Truth,204329740,MD,2016,473674,447982,339554,10113
Endowment For Middle East Truth,204329740,MD,2015,497597,479242,320416,16639
Endowment For Middle East Truth,204329740,MD,2014,463179,436190,290309,4893
Endowment For Middle East Truth,204329740,MD,2013,405223,351311,273137,14710
Endowment For Middle East Truth,204329740,MD,2012,278166,299755,206562,2043
Conference Of Presidents Of Major Jewish Organizations,132500881,NY,2021,556845,743909,130388,208705
Conference Of Presidents Of Major Jewish Organizations,132500881,NY,2020,616880,724918,639453,136711
Conference Of Presidents Of Major Jewish Organizations,132500881,NY,2019,618080,602984,568175,179045
Conference Of Presidents Of Major Jewish Organizations,132500881,NY,2018,624345,580878,842020,251020
Conference Of Presidents Of Major Jewish Organizations,132500881,NY,2017,620755,709818,773315,207135
Conference Of Presidents Of Major Jewish Organizations,132500881,NY,2016,625935,735522,809556,205494
Conference Of Presidents Of Major Jewish Organizations,132500881,NY,2015,644124,522064,973680,162305
Conference Of Presidents Of Major Jewish Organizations,132500881,NY,2014,616615,639086,847774,158459
Conference Of Presidents Of Major Jewish Organizations,132500881,NY,2013,609761,511231,837687,187644
Conference Of Presidents Of Major Jewish Organizations,132500881,NY,2012,637862,535327,617470,150887
American Friends Of Yeshiva High School Of Kiryat Arba Inc,134015013,NY,2021,282253,331200,15038,0
American Friends Of Yeshiva High School Of Kiryat Arba Inc,134015013,NY,2020,283260,548210,63985,0
American Friends Of Yeshiva High School Of Kiryat Arba Inc,134015013,NY,2019,530618,241996,328935,0
American Friends Of Yeshiva High School Of Kiryat Arba Inc,134015013,NY,2018,329133,295310,40313,0
American Friends Of Yeshiva High School Of Kiryat Arba Inc,134015013,NY,2017,625667,718437,6490,0
American Friends Of Yeshiva High School Of Kiryat Arba Inc,134015013,NY,2016,444265,354749,99260,0
American Friends Of Yeshiva High School Of Kiryat Arba Inc,134015013,NY,2015,388970,386228,9744,0
American Friends Of Yeshiva High School Of Kiryat Arba Inc,134015013,NY,2014,769770,769228,7001,0
American Friends Of Yeshiva High School Of Kiryat Arba Inc,134015013,NY,2013,327195,411761,6459,0
American Friends Of Yeshiva High School Of Kiryat Arba Inc,134015013,NY,2012,677723,1007757,91025,0
Habonim Labor Zionist Youth,135596779,PA,2021,540087,463330,834352,389166
Habonim Labor Zionist Youth,135596779,PA,2020,767897,915594,529270,160841
Habonim Labor Zionist Youth,135596779,PA,2019,1076156,1718706,830818,314692
Habonim Labor Zionist Youth,135596779,PA,2018,2079923,1615809,1388515,229839
Habonim Labor Zionist Youth,135596779,PA,2017,1979626,1566435,1084373,389811
Habonim Labor Zionist Youth,135596779,PA,2016,2039831,1892756,627956,346585
Habonim Labor Zionist Youth,135596779,PA,2015,1858850,1790916,754511,620215
Habonim Labor Zionist Youth,135596779,PA,2014,1964844,1925463,309556,255614
Habonim Labor Zionist Youth,135596779,PA,2013,2047421,1957188,479498,464937
Habonim Labor Zionist Youth,135596779,PA,2012,1920979,1885858,671755,622685
Global Evangelism,273262955,MO,2021,445019,295827,775037,749290
Global Evangelism,273262955,MO,2020,0,0,1,0
Global Evangelism,273262955,MO,2019,876129,563013,509008,0
Global Evangelism,273262955,MO,2018,798033,632548,195892,0
Global Evangelism,273262955,MO,2017,753072,763647,30407,0
Global Evangelism,273262955,MO,2016,298698,314675,40982,0
Global Evangelism,273262955,MO,2015,86580,101229,56959,0
Global Evangelism,273262955,MO,2014,153640,84867,71608,0
Global Evangelism,273262955,MO,2013,116278,139003,2834,0
Jewish Community Federation Of S F Marin Peninsula & Sonoma Counties,941156533,CA,2021,154567295,106073887,1443740655,152621802
Jewish Community Federation Of S F Marin Peninsula & Sonoma Counties,941156533,CA,2020,186384757,123418313,1187507760,131584996
Jewish Community Federation Of S F Marin Peninsula & Sonoma Counties,941156533,CA,2019,144796926,101457296,1111133452,95943259
Jewish Community Federation Of S F Marin Peninsula & Sonoma Counties,941156533,CA,2018,179606835,99067005,1110063213,135332967
Jewish Community Federation Of S F Marin Peninsula & Sonoma Counties,941156533,CA,2017,144973880,108286334,1046104341,136840636
Jewish Community Federation Of S F Marin Peninsula & Sonoma Counties,941156533,CA,2016,130282883,103726498,960325029,144857924
Jewish Community Federation Of S F Marin Peninsula & Sonoma Counties,941156533,CA,2015,147289138,91700986,994844147,195101640
Jewish Community Federation Of S F Marin Peninsula & Sonoma Counties,941156533,CA,2014,163764782,95313460,926490857,158837269
Jewish Community Federation Of S F Marin Peninsula & Sonoma Counties,941156533,CA,2013,136011703,97774291,745216712,103459933
Jewish Community Federation Of S F Marin Peninsula & Sonoma Counties,941156533,CA,2012,99552932,134027819,675137451,116476733
Jewish Community Foundation Of Greater Metrowest Nj,221714130,NJ,2021,46022571,35766701,441552124,156042772
Jewish Community Foundation Of Greater Metrowest Nj,221714130,NJ,2020,29115427,31348929,359660040,118352442
Jewish Community Foundation Of Greater Metrowest Nj,221714130,NJ,2019,46654198,34660024,367284610,118697485
Jewish Community Foundation Of Greater Metrowest Nj,221714130,NJ,2018,88649324,27585014,344320636,122221508
Jewish Community Foundation Of Greater Metrowest Nj,221714130,NJ,2017,51661196,37643817,280205491,136605253
Jewish Community Foundation Of Greater Metrowest Nj,221714130,NJ,2016,24976845,22152048,239800421,110106554
Jewish Community Foundation Of Greater Metrowest Nj,221714130,NJ,2015,21897080,22862445,251758380,113945998
Jewish Community Foundation Of Greater Metrowest Nj,221714130,NJ,2014,23451050,14234732,261838325,117128143
Jewish Community Foundation Of Greater Metrowest Nj,221714130,NJ,2013,25661202,18916069,234959867,104211710
Jewish Community Foundation Of Greater Metrowest Nj,221714130,NJ,2012,32311299,14812040,198095239,89205881
Jewish Federation Of Greater Atlanta Inc,581021791,GA,2021,68701796,48452197,361640827,84104588
Jewish Federation Of Greater Atlanta Inc,581021791,GA,2020,46977032,43884838,335156066,72040600
Jewish Federation Of Greater Atlanta Inc,581021791,GA,2019,49848636,159683645,330177839,69548999
Jewish Federation Of Greater Atlanta Inc,581021791,GA,2018,206712510,37496610,427172753,63852311
Jewish Federation Of Greater Atlanta Inc,581021791,GA,2017,67133936,39031216,255738619,61033571
Jewish Federation Of Greater Atlanta Inc,581021791,GA,2016,58272275,38085947,220055915,60121250
Jewish Federation Of Greater Atlanta Inc,581021791,GA,2015,101328261,35173234,208935058,62979048
Jewish Federation Of Greater Atlanta Inc,581021791,GA,2014,41288146,30276490,146170112,62770003
Jewish Federation Of Greater Atlanta Inc,581021791,GA,2013,35953727,31614704,123268044,57009381
Jewish Federation Of Greater Atlanta Inc,581021791,GA,2012,30791644,27934679,112521329,55378109
Jewish Community Foundation Of San Diego,952504044,CA,2021,102928936,73016249,566554047,168864127
Jewish Community Foundation Of San Diego,952504044,CA,2020,106011475,82881549,448399166,132471637
Jewish Community Foundation Of San Diego,952504044,CA,2019,125092750,79367805,424452236,126526228
Jewish Community Foundation Of San Diego,952504044,CA,2018,131533752,86623731,346971259,96891409
Jewish Community Foundation Of San Diego,952504044,CA,2017,200565771,167243782,293650842,90530201
Jewish Community Foundation Of San Diego,952504044,CA,2016,107187626,114337625,245972589,85578586
Jewish Community Foundation Of San Diego,952504044,CA,2015,113371008,117551194,253909016,82315026
Jewish Community Foundation Of San Diego,952504044,CA,2014,117175117,107163541,262847570,81848030
Jewish Community Foundation Of San Diego,952504044,CA,2013,135119496,98098348,238631105,76560025
Jewish Community Foundation Of San Diego,952504044,CA,2012,98783410,82365098,199237693,76420368
Jewish Year Abroad,462233652,NJ,2021,300944,181718,492342,0
Jewish Year Abroad,462233652,NJ,2020,364475,188251,373116,0
Jewish Year Abroad,462233652,NJ,2019,293759,186848,184865,0
Jewish Year Abroad,462233652,NJ,2018,157439,163590,77954,0
Jewish Year Abroad,462233652,NJ,2017,133268,118990,99120,0
Jewish Year Abroad,462233652,NJ,2016,123044,87742,84844,0
Jewish Year Abroad,462233652,NJ,2015,98073,84875,49540,0
Jewish Year Abroad,462233652,NJ,2014,93280,110533,36342,0
Jewish Year Abroad,462233652,NJ,2013,78730,25134,53596,0
Maryland Israel Development Center Inc,521777737,MD,2021,574350,457599,1353052,563
Maryland Israel Development Center Inc,521777737,MD,2020,625576,663008,1067210,60065
Maryland Israel Development Center Inc,521777737,MD,2019,826131,728811,1072154,36243
Maryland Israel Development Center Inc,521777737,MD,2018,600052,558876,943336,6456
Maryland Israel Development Center Inc,521777737,MD,2017,1089918,1001130,878798,7177
Maryland Israel Development Center Inc,521777737,MD,2016,582652,566478,724405,9941
Maryland Israel Development Center Inc,521777737,MD,2015,609945,642073,748510,21255
Maryland Israel Development Center Inc,521777737,MD,2014,568813,521158,794856,29902
Maryland Israel Development Center Inc,521777737,MD,2013,870205,863019,671987,26404
Maryland Israel Development Center Inc,521777737,MD,2012,401878,352347,657925,76878
Christian Friends Of Israel U S A Inc,650307706,NC,2021,512916,455226,585215,2399
Christian Friends Of Israel U S A Inc,650307706,NC,2020,353176,251868,527568,2442
Christian Friends Of Israel U S A Inc,650307706,NC,2019,302579,285633,426227,2409
Christian Friends Of Israel U S A Inc,650307706,NC,2018,298709,339693,409215,2342
Christian Friends Of Israel U S A Inc,650307706,NC,2017,309467,313881,449933,2076
Christian Friends Of Israel U S A Inc,650307706,NC,2016,400890,449486,454442,2171
Christian Friends Of Israel U S A Inc,650307706,NC,2015,518585,430942,503073,1840
Christian Friends Of Israel U S A Inc,650307706,NC,2014,482711,399546,415191,1602
Christian Friends Of Israel U S A Inc,650307706,NC,2013,456507,426289,331608,1363
Christian Friends Of Israel U S A Inc,650307706,NC,2012,520862,406766,300949,922
Israeli American Nexus,811208165,CA,2021,38,433496,1202154,0
Israeli American Nexus,811208165,CA,2020,1036816,533725,1636187,575
Israeli American Nexus,811208165,CA,2019,1050060,525387,1217700,85179
Israeli American Nexus,811208165,CA,2018,1010032,726861,607848,0
Israeli American Nexus,811208165,CA,2017,440014,518204,324677,0
If Not Now Education Fund,475178715,DC,2021,396922,514018,324904,9582
If Not Now Education Fund,475178715,DC,2020,655334,620355,507225,74807
If Not Now Education Fund,475178715,DC,2019,605066,544286,398054,615
If Not Now Education Fund,475178715,DC,2018,497453,386623,337039,380
If Not Now Education Fund,475178715,DC,2017,497507,311190,226029,0
If Not Now Education Fund,475178715,DC,2016,0,0,39712,0
Helping Israel Fund Inc,204981268,NJ,2021,443528,263543,493235,0
Helping Israel Fund Inc,204981268,NJ,2020,313470,410991,313250,0
Helping Israel Fund Inc,204981268,NJ,2019,309694,270192,409771,0
Helping Israel Fund Inc,204981268,NJ,2018,274077,389353,294492,0
Helping Israel Fund Inc,204981268,NJ,2017,210073,197153,409768,0
Helping Israel Fund Inc,204981268,NJ,2016,434944,417128,396848,0
Helping Israel Fund Inc,204981268,NJ,2015,570520,313158,379435,0
Helping Israel Fund Inc,204981268,NJ,2014,200895,127829,122073,0
Helping Israel Fund Inc,204981268,NJ,2013,30002,4133,49007,0
Helping Israel Fund Inc,204981268,NJ,2012,5338,21035,23138,0
American Zionist Movement Inc,132679404,NY,2021,840579,938107,771425,171046
American Zionist Movement Inc,132679404,NY,2020,1336437,923829,761154,65696
American Zionist Movement Inc,132679404,NY,2019,557083,524815,380559,97709
American Zionist Movement Inc,132679404,NY,2018,563203,496363,354277,84195
American Zionist Movement Inc,132679404,NY,2017,546569,660809,340168,136926
American Zionist Movement Inc,132679404,NY,2016,460415,486033,443072,125590
American Zionist Movement Inc,132679404,NY,2015,946465,766736,469976,126876
American Zionist Movement Inc,132679404,NY,2014,461898,443676,294528,98990
American Zionist Movement Inc,132679404,NY,2013,372754,347422,340627,163311
American Zionist Movement Inc,132679404,NY,2012,387922,401701,239104,87368
Americans For A Safe Israel Inc,510181418,NY,2021,182898,181812,404370,0
Americans For A Safe Israel Inc,510181418,NY,2020,552029,218030,403284,0
Americans For A Safe Israel Inc,510181418,NY,2019,401585,461588,69285,0
Americans For A Safe Israel Inc,510181418,NY,2018,496749,450927,129288,0
Americans For A Safe Israel Inc,510181418,NY,2017,249071,343023,83466,0
Americans For A Safe Israel Inc,510181418,NY,2016,282711,318058,177418,0
